13,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
14,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZYYZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
15,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
16,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
17,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
18,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZYYZIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
19,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIIIIIIII
20,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIIIIIIII
21,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIIIIIII,stabilizer3 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXIXZZIIIIIIIIIIIIIIIIIII,stabilizer4 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZXIXZIIIIIIIIIIIIIIIIIII
22,stabilizer1 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIXZZXIIIIIIIIIIIIIII,stabilizer2 = IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIZYYZIIIIIIIIIIIIIII
